year,city,country,mecca_avg_temp,gloal_avg_temp,mecca_MA_10Y,global_MA_10Y
1843,Mecca,Saudi Arabia,25.16,8.17,,
1844,Mecca,Saudi Arabia,19.05,7.65,,
1845,Mecca,Saudi Arabia,22.46,7.85,,
1846,Mecca,Saudi Arabia,,8.55,,
1847,Mecca,Saudi Arabia,,8.09,,
1848,Mecca,Saudi Arabia,,7.98,,
1849,Mecca,Saudi Arabia,,7.98,,
1850,Mecca,Saudi Arabia,,7.9,,
1851,Mecca,Saudi Arabia,,8.18,,
1852,Mecca,Saudi Arabia,,8.1,22.22333333,8.045
1853,Mecca,Saudi Arabia,,8.04,,
1854,Mecca,Saudi Arabia,,8.21,,
1855,Mecca,Saudi Arabia,,8.11,,
1856,Mecca,Saudi Arabia,,8,,
1857,Mecca,Saudi Arabia,,7.76,,
1858,Mecca,Saudi Arabia,,8.1,,
1859,Mecca,Saudi Arabia,,8.25,,
1860,Mecca,Saudi Arabia,,7.96,,
1861,Mecca,Saudi Arabia,23.98,7.85,,
1862,Mecca,Saudi Arabia,24.13,7.56,24.055,7.984
1863,Mecca,Saudi Arabia,22.87,8.11,,
1864,Mecca,Saudi Arabia,25.43,7.98,,
1865,Mecca,Saudi Arabia,25.6,8.18,,
1866,Mecca,Saudi Arabia,25.42,8.29,,
1867,Mecca,Saudi Arabia,25.62,8.44,,
1868,Mecca,Saudi Arabia,25.3,8.25,,
1869,Mecca,Saudi Arabia,25.65,8.43,,
1870,Mecca,Saudi Arabia,25.35,8.2,,
1871,Mecca,Saudi Arabia,24.97,8.12,,
1872,Mecca,Saudi Arabia,25.2,8.19,25.141,8.219
1873,Mecca,Saudi Arabia,25.57,8.35,,
1874,Mecca,Saudi Arabia,25.32,8.43,,
1875,Mecca,Saudi Arabia,24.53,7.86,,
1876,Mecca,Saudi Arabia,25.13,8.08,,
1877,Mecca,Saudi Arabia,25.81,8.54,,
1878,Mecca,Saudi Arabia,25.94,8.83,,
1879,Mecca,Saudi Arabia,25.57,8.17,,
1880,Mecca,Saudi Arabia,25.42,8.12,,
1881,Mecca,Saudi Arabia,26.06,8.27,,
1882,Mecca,Saudi Arabia,25.09,8.13,25.444,8.278
1883,Mecca,Saudi Arabia,25.36,7.98,,
